account_id,customer_age,home_state,monthly_income,account_age_days,typical_amount,customer_segment
ACC-00482,71,RJ,4274.45,791,115.2,Varejo
ACC-00483,34,RJ,4694.89,1919,503.87,Varejo
ACC-00484,23,SP,6699.83,4878,465.59,Varejo
ACC-00485,29,MG,1812.06,4391,46.63,Alta renda
ACC-00486,55,SP,4902.65,1033,746.06,Varejo
ACC-00487,20,BA,3527.95,3186,288.92,Digital
ACC-00488,57,BA,10056.14,291,1420.74,Varejo
ACC-00489,43,SC,2361.87,2172,234.52,Varejo
ACC-00490,33,SP,1860.29,1099,142.43,Digital
ACC-00491,41,SP,5298.31,2231,287.27,Alta renda
ACC-00492,49,MG,2194.53,890,267.66,Digital
ACC-00493,64,RJ,1650.29,1672,85.16,Varejo
ACC-00494,53,PR,6915.68,3225,1046.22,Varejo
ACC-00495,50,MG,5063.19,1136,696.34,Varejo
ACC-00496,33,MG,506.53,4287,50.13,Varejo
ACC-00497,62,SP,2103.5,969,259.8,Empresarial
ACC-00498,43,SP,1862.69,2885,104.69,Varejo
ACC-00499,46,RJ,5818.66,1591,532.45,Digital
ACC-00500,68,SP,9968.31,4309,1250.35,Varejo
ACC-00501,31,SC,14585.38,671,886.17,Varejo
ACC-00502,29,SP,6057.07,3083,474.12,Varejo
ACC-00503,26,RJ,1877.3,283,286.53,Varejo
ACC-00504,77,RJ,1834.77,563,154.42,Empresarial
ACC-00505,56,SP,2060.54,2814,84.59,Alta renda
ACC-00506,56,SP,5261.2,1872,373.24,Varejo
ACC-00507,27,RS,8712.58,84,474.44,Empresarial
ACC-00508,77,RJ,1100.43,4876,35.0,Digital
ACC-00509,63,SP,5687.4,1548,880.45,Digital
ACC-00510,51,BA,6996.09,2434,564.11,Varejo
ACC-00511,43,RJ,4700.29,1431,405.26,Varejo
ACC-00512,64,SP,31368.24,713,942.15,Digital
ACC-00513,44,MG,5420.33,3072,400.1,Varejo
ACC-00514,67,GO,3909.32,453,146.62,Varejo
ACC-00515,42,MG,5692.13,3187,188.7,Varejo
ACC-00516,35,SP,2687.28,3130,269.83,Empresarial
ACC-00517,25,SC,1873.34,4156,274.57,Varejo
ACC-00518,72,PR,5036.25,4335,297.67,Varejo
ACC-00519,68,SP,8101.92,4750,783.02,Digital
ACC-00520,24,PR,3285.55,3380,270.22,Varejo
ACC-00521,28,RS,6986.38,1256,769.95,Varejo
ACC-00522,63,BA,2998.14,4525,447.27,Empresarial
ACC-00523,38,RJ,11052.42,2890,506.68,Digital
ACC-00524,48,PE,4401.12,2043,467.72,Varejo
ACC-00525,37,MG,5417.04,3690,775.65,Digital
ACC-00526,74,RS,6298.13,945,661.13,Varejo
ACC-00527,68,BA,1589.46,220,110.06,Varejo
ACC-00528,49,GO,3400.29,2148,115.23,Digital
ACC-00529,62,SC,12661.77,2990,1238.98,Varejo
ACC-00530,62,GO,3919.5,2937,371.73,Empresarial
ACC-00531,43,SP,9525.18,2931,742.6,Digital
ACC-00532,39,SP,6799.87,2112,483.08,Varejo
ACC-00533,28,MG,1166.75,1129,41.8,Varejo
ACC-00534,38,SC,6061.98,4700,437.69,Alta renda
ACC-00535,26,RJ,1886.75,4282,189.91,Alta renda
ACC-00536,60,SC,4536.0,2014,698.72,Digital
ACC-00537,51,SP,2921.52,4558,403.76,Digital
ACC-00538,31,PR,3882.15,1303,272.48,Digital
ACC-00539,71,SP,3655.28,3906,511.26,Varejo
ACC-00540,35,MG,4481.59,1115,371.54,Varejo
ACC-00541,18,DF,2860.06,4614,190.97,Varejo
ACC-00542,50,SP,1590.6,4208,141.67,Empresarial
ACC-00543,64,MG,1985.31,1902,140.95,Varejo
ACC-00544,64,DF,6943.46,2898,458.66,Alta renda
ACC-00545,45,RS,11741.92,3143,1583.27,Varejo
ACC-00546,56,SP,4452.28,2967,456.56,Digital
ACC-00547,29,RJ,6617.63,2359,1035.02,Varejo
ACC-00548,29,PE,7222.49,1737,821.59,Empresarial
ACC-00549,32,SP,1575.32,2936,245.93,Empresarial
ACC-00550,72,SP,1133.17,2924,109.08,Varejo
ACC-00551,21,BA,3702.2,276,377.46,Varejo
ACC-00552,44,GO,1118.78,1452,177.52,Varejo
ACC-00553,30,SP,3206.34,2993,456.13,Digital
ACC-00554,26,SP,1464.33,77,95.68,Varejo
ACC-00555,61,SP,2551.35,1845,194.64,Varejo
ACC-00556,62,RS,2348.96,4051,302.04,Alta renda
ACC-00557,43,RJ,5366.86,3833,520.48,Digital
ACC-00558,63,SP,2513.15,3327,76.32,Digital
ACC-00559,45,SP,1815.22,3418,286.18,Digital
ACC-00560,20,SP,3951.0,2196,373.15,Alta renda
ACC-00561,44,GO,26335.41,1677,1445.92,Varejo
ACC-00562,65,BA,5272.73,1748,624.45,Alta renda
ACC-00563,33,MG,1081.17,3206,145.39,Alta renda
ACC-00564,44,RS,4061.69,2374,291.32,Varejo
ACC-00565,75,GO,20357.67,3759,2461.82,Digital
ACC-00566,36,MG,4272.45,4724,259.9,Alta renda
ACC-00567,48,RJ,8799.35,3923,1169.53,Varejo
ACC-00568,57,SP,7875.99,1017,696.96,Digital
ACC-00569,26,SP,8287.0,3516,546.46,Alta renda
ACC-00570,48,SP,7578.09,3708,203.2,Alta renda
ACC-00571,47,MG,4599.59,2835,326.28,Varejo
ACC-00572,60,SC,3395.46,3504,120.47,Varejo
ACC-00573,58,MG,3193.72,2651,244.41,Varejo
ACC-00574,76,PR,4138.86,3660,423.51,Varejo
ACC-00575,77,BA,5052.17,4829,604.2,Varejo
ACC-00576,28,RS,1670.39,1920,129.69,Empresarial
ACC-00577,65,GO,3189.76,1091,337.73,Varejo
ACC-00578,33,MG,3728.03,451,340.15,Varejo
ACC-00579,67,MG,4105.61,2508,527.44,Digital
ACC-00580,62,SP,3129.74,3625,326.57,Digital
ACC-00581,74,RS,6465.02,2711,543.76,Varejo
ACC-00582,61,DF,3577.45,3386,397.81,Empresarial
ACC-00583,27,SP,2998.79,4558,192.76,Varejo
ACC-00584,25,SP,1713.07,4707,253.01,Varejo
ACC-00585,67,MG,2309.28,2128,339.36,Digital
ACC-00586,36,PE,4443.72,4250,251.13,Alta renda
ACC-00587,63,GO,4135.92,3760,497.63,Digital
ACC-00588,53,BA,1017.23,3459,43.39,Varejo
ACC-00589,76,SP,6979.95,4490,774.18,Empresarial
ACC-00590,72,RJ,2424.32,2029,386.85,Varejo
ACC-00591,50,SP,2129.73,2288,245.06,Digital
ACC-00592,65,GO,7899.56,3301,758.44,Varejo
ACC-00593,23,MG,8153.3,4414,583.24,Varejo
ACC-00594,76,SP,2410.49,2407,382.78,Varejo
ACC-00595,35,BA,3037.68,4088,230.82,Varejo
ACC-00596,45,MG,1727.39,2429,132.57,Digital
ACC-00597,69,BA,6497.99,875,600.23,Varejo
ACC-00598,66,SC,6891.48,2197,879.27,Alta renda
ACC-00599,20,SP,2877.77,4534,113.54,Empresarial
ACC-00600,72,MG,9457.8,3165,579.78,Alta renda
ACC-00601,56,SP,6954.05,815,716.58,Varejo
ACC-00602,44,SP,3531.89,1965,177.77,Varejo
ACC-00603,27,SP,6118.24,2708,588.84,Varejo
ACC-00604,73,SC,1305.66,445,146.67,Alta renda
ACC-00605,71,GO,3226.6,4058,184.63,Alta renda
ACC-00606,40,GO,4507.86,2345,279.34,Varejo
ACC-00607,46,SC,3801.78,4760,428.31,Varejo
ACC-00608,44,PR,14508.16,1411,1207.32,Varejo
ACC-00609,44,SP,4683.71,71,353.81,Digital
ACC-00610,33,MG,4857.11,2137,730.53,Varejo
ACC-00611,22,RJ,1614.54,4954,176.48,Varejo
ACC-00612,22,RS,3388.47,1961,185.97,Varejo
ACC-00613,77,MG,2300.11,1276,125.56,Digital
ACC-00614,52,SP,17618.38,3842,1850.23,Varejo
ACC-00615,56,PR,2921.47,4240,298.5,Empresarial
ACC-00616,67,SP,4135.6,4909,201.22,Varejo
ACC-00617,55,SP,8436.1,1647,328.15,Alta renda
ACC-00618,68,SP,5865.44,1016,378.03,Digital
ACC-00619,64,GO,1529.43,1313,225.98,Alta renda
ACC-00620,70,SP,5796.67,1350,764.47,Empresarial
ACC-00621,19,DF,6073.58,1406,889.44,Digital
ACC-00622,23,BA,3401.36,385,389.35,Alta renda
ACC-00623,56,GO,5176.02,1032,695.7,Varejo
ACC-00624,67,RS,4097.27,4082,643.13,Varejo
ACC-00625,23,MG,1555.42,950,204.86,Varejo
ACC-00626,62,BA,2653.74,2058,158.76,Empresarial
ACC-00627,39,DF,3879.52,4225,127.56,Digital
ACC-00628,71,SC,2614.46,373,344.36,Varejo
ACC-00629,57,SP,5433.72,2441,831.3,Alta renda
ACC-00630,24,RJ,7341.36,4428,500.72,Varejo
ACC-00631,57,GO,4572.08,2622,508.56,Varejo
ACC-00632,43,SP,3004.18,2473,164.67,Digital
ACC-00633,77,SP,9282.14,1100,1029.03,Digital
ACC-00634,32,MG,4185.55,4609,144.94,Varejo
ACC-00635,56,SP,4816.44,2785,204.5,Varejo
ACC-00636,24,RJ,2330.32,1018,319.02,Varejo
ACC-00637,58,SP,3322.69,3657,359.15,Varejo
ACC-00638,56,MG,7322.94,2344,894.24,Varejo
ACC-00639,54,SP,6206.94,572,465.46,Varejo
ACC-00640,57,MG,3389.39,1122,481.11,Varejo
ACC-00641,55,RS,3848.19,2224,250.27,Digital
ACC-00642,68,SP,4356.1,2920,189.64,Varejo
ACC-00643,36,SP,2076.06,4181,97.99,Varejo
ACC-00644,76,SP,3393.24,4709,149.13,Digital
ACC-00645,31,DF,2744.86,3176,327.48,Digital
ACC-00646,36,SP,1555.03,3676,247.38,Empresarial
ACC-00647,27,GO,4225.58,4655,407.01,Varejo
ACC-00648,24,SP,3486.07,1797,213.18,Alta renda
ACC-00649,66,MG,1478.12,1251,41.69,Varejo
ACC-00650,48,RS,2283.0,2749,298.76,Empresarial
ACC-00651,47,SP,3616.97,1399,178.33,Varejo
ACC-00652,76,SP,584.53,886,69.87,Empresarial
ACC-00653,66,RS,4313.92,2925,266.99,Alta renda
ACC-00654,75,SP,4552.22,2330,590.77,Alta renda
ACC-00655,25,SP,5835.9,4943,638.79,Digital
ACC-00656,35,RS,2599.49,2838,219.41,Varejo
ACC-00657,22,SP,1518.1,1860,92.06,Varejo
ACC-00658,34,RJ,5758.24,4691,601.73,Alta renda
ACC-00659,41,SP,1565.98,1423,185.89,Alta renda
ACC-00660,48,RJ,5440.44,3823,162.27,Alta renda
ACC-00661,28,PE,2467.08,1758,163.66,Varejo
ACC-00662,68,SP,1982.45,3968,252.18,Empresarial
ACC-00663,57,RJ,4634.66,2148,283.42,Alta renda
ACC-00664,65,SP,7938.34,2433,977.63,Varejo
ACC-00665,66,RJ,3456.42,798,276.21,Digital
ACC-00666,35,RJ,3262.57,2202,383.16,Varejo
ACC-00667,61,GO,1277.25,4299,191.11,Varejo
ACC-00668,42,SC,6570.11,1689,312.35,Alta renda
ACC-00669,62,PE,4013.26,619,601.06,Varejo
ACC-00670,35,RS,3208.01,285,465.58,Digital
ACC-00671,38,SP,8959.29,3301,840.37,Varejo
ACC-00672,77,PE,1381.84,1472,43.0,Varejo
ACC-00673,51,SP,2757.28,733,369.8,Empresarial
ACC-00674,18,GO,3839.71,1038,402.23,Digital
ACC-00675,67,SP,3158.63,3695,212.64,Varejo
ACC-00676,39,GO,785.43,2639,35.0,Varejo
ACC-00677,23,SP,4803.35,251,370.83,Varejo
ACC-00678,75,BA,3752.49,3360,131.15,Empresarial
ACC-00679,64,GO,7383.46,1150,631.09,Alta renda
ACC-00680,57,MG,14413.4,4054,486.81,Varejo
ACC-00681,19,RS,3387.57,4161,387.98,Varejo
ACC-00682,26,SP,4914.31,2401,536.4,Alta renda
ACC-00683,35,RJ,4511.97,4240,253.87,Varejo
ACC-00684,19,RJ,4274.24,4756,470.36,Empresarial
ACC-00685,22,DF,3498.53,3099,170.06,Digital
ACC-00686,73,PR,4921.04,2262,207.89,Digital
ACC-00687,55,SP,7968.94,3844,585.43,Digital
ACC-00688,57,MG,2204.17,3551,108.94,Alta renda
ACC-00689,74,SP,13168.77,2510,1157.29,Alta renda
ACC-00690,75,PE,5319.28,475,540.09,Digital
ACC-00691,61,RJ,4660.77,4642,407.96,Varejo
ACC-00692,69,BA,887.2,1098,86.72,Empresarial
ACC-00693,40,MG,3801.28,690,530.08,Varejo
ACC-00694,27,PR,2029.75,2838,321.69,Alta renda
ACC-00695,42,GO,5559.96,4258,194.08,Varejo
ACC-00696,39,SP,7123.26,994,767.17,Varejo
ACC-00697,49,SP,8082.22,3636,225.49,Varejo
ACC-00698,54,SP,3435.23,3911,327.63,Digital
ACC-00699,36,BA,3646.46,4747,288.96,Varejo
ACC-00700,36,SP,5085.4,2169,133.04,Varejo
ACC-00701,70,SP,978.73,446,147.84,Varejo
ACC-00702,40,SP,2887.23,700,224.82,Varejo
ACC-00703,47,PE,2689.72,3221,251.98,Alta renda
ACC-00704,75,RJ,5369.72,3856,687.98,Digital
ACC-00705,24,SP,2843.26,2310,297.57,Empresarial
ACC-00706,59,SP,6207.61,4093,877.39,Varejo
ACC-00707,60,BA,3376.71,122,113.79,Alta renda
ACC-00708,72,PR,6673.73,396,192.48,Varejo
ACC-00709,50,RJ,16186.26,3435,806.97,Varejo
ACC-00710,36,SP,10537.66,1408,1156.31,Varejo
ACC-00711,66,SP,7084.2,2964,769.78,Digital
ACC-00712,71,SP,8055.19,3575,400.23,Digital
ACC-00713,19,DF,3017.37,2528,97.97,Varejo
ACC-00714,36,SP,2319.47,4014,226.14,Varejo
ACC-00715,76,SP,2208.66,2813,324.35,Digital
ACC-00716,56,MG,4346.99,731,217.19,Varejo
ACC-00717,62,MG,9973.74,3528,825.87,Varejo
ACC-00718,60,SP,2382.49,4710,328.43,Varejo
ACC-00719,20,MG,5190.75,3422,701.38,Varejo
ACC-00720,31,BA,1701.59,4594,184.34,Varejo
ACC-00721,48,SC,1736.06,958,218.47,Varejo
ACC-00722,50,RS,6683.89,1272,557.12,Digital
ACC-00723,48,GO,2449.47,606,309.09,Varejo
ACC-00724,74,SP,2404.2,3477,102.26,Varejo
ACC-00725,44,SP,13822.37,2134,560.33,Varejo
ACC-00726,63,SP,4003.04,3934,400.31,Varejo
ACC-00727,58,SP,3718.55,4515,499.21,Varejo
ACC-00728,32,SC,3296.96,945,487.13,Varejo
ACC-00729,58,GO,5013.91,3103,436.82,Varejo
ACC-00730,28,RJ,2416.11,3608,237.81,Varejo
ACC-00731,42,GO,3972.92,4475,630.79,Digital
ACC-00732,18,SC,7757.04,4664,1138.67,Varejo
ACC-00733,22,SP,3107.53,1057,286.51,Varejo
ACC-00734,70,SP,815.46,2911,54.7,Alta renda
ACC-00735,21,SP,2500.66,128,151.6,Digital
ACC-00736,25,PE,6305.96,3609,451.65,Digital
ACC-00737,23,SP,7931.38,1153,256.12,Empresarial
ACC-00738,21,RJ,4848.01,1511,213.45,Empresarial
ACC-00739,50,SP,9680.03,2477,903.23,Varejo
ACC-00740,33,RJ,1947.39,3697,163.17,Empresarial
ACC-00741,70,SP,8789.05,2449,570.76,Digital
ACC-00742,18,SP,4386.78,105,396.56,Varejo
ACC-00743,64,MG,5939.49,610,400.3,Alta renda
ACC-00744,34,RS,596.29,691,93.2,Digital
ACC-00745,47,DF,6837.07,4776,271.42,Varejo
ACC-00746,20,SP,4453.4,1085,278.85,Varejo
ACC-00747,62,SP,13232.2,4338,1838.19,Empresarial
ACC-00748,40,SP,4325.7,2286,348.9,Varejo
ACC-00749,70,PE,2033.17,1883,118.23,Alta renda
ACC-00750,64,SP,2270.81,3331,310.06,Varejo
ACC-00751,71,SP,4982.3,2152,723.76,Empresarial
ACC-00752,65,MG,4675.39,545,191.45,Varejo
ACC-00753,27,SP,2534.65,3376,381.86,Empresarial
ACC-00754,55,DF,1911.78,2393,145.61,Varejo
ACC-00755,56,RJ,10253.9,4818,1392.35,Varejo
ACC-00756,29,PR,3277.58,3205,451.59,Empresarial
ACC-00757,42,SP,3660.9,3238,242.3,Digital
ACC-00758,75,SP,2706.26,2346,248.58,Digital
ACC-00759,25,PR,9499.01,1639,683.75,Digital
ACC-00760,51,PR,7903.4,3155,719.92,Varejo
ACC-00761,75,BA,1970.28,2085,118.68,Varejo
ACC-00762,22,RJ,3641.76,4000,235.91,Varejo
ACC-00763,64,PR,2101.96,1928,69.96,Empresarial
ACC-00764,58,SC,12776.03,710,522.89,Digital
ACC-00765,73,RS,5105.79,1645,681.2,Varejo
ACC-00766,76,PE,3190.27,4391,272.12,Varejo
ACC-00767,51,SP,3073.67,4646,189.39,Varejo
ACC-00768,73,PR,5451.85,4140,195.51,Varejo
ACC-00769,49,SP,3261.95,2298,323.51,Varejo
ACC-00770,37,MG,10433.0,1062,1230.63,Varejo
ACC-00771,62,SP,2096.38,3698,131.57,Varejo
ACC-00772,26,RJ,1715.53,2443,127.66,Varejo
ACC-00773,30,PR,9574.07,2157,1010.15,Digital
ACC-00774,73,RJ,2902.42,2897,324.68,Varejo
ACC-00775,39,SP,9632.67,2539,428.53,Varejo
ACC-00776,48,RJ,6781.24,3231,589.57,Alta renda
ACC-00777,30,SC,1583.26,1492,151.67,Digital
ACC-00778,71,SP,2575.56,2232,205.48,Varejo
ACC-00779,22,RS,3952.31,705,485.43,Digital
ACC-00780,63,RJ,3316.66,1376,360.2,Digital
ACC-00781,64,SP,4660.47,1557,453.87,Digital
ACC-00782,60,MG,2570.56,4785,259.02,Digital
ACC-00783,58,SP,3622.05,1648,532.87,Varejo
ACC-00784,72,SC,7339.05,1523,428.59,Empresarial
ACC-00785,43,SP,9103.34,4640,1245.41,Varejo
ACC-00786,72,MG,2290.38,1360,198.0,Digital
ACC-00787,37,SP,3291.89,3837,228.98,Empresarial
ACC-00788,77,RS,3524.83,2553,442.31,Varejo
ACC-00789,20,SP,1591.76,2394,222.69,Varejo
ACC-00790,33,GO,7042.33,3181,743.05,Digital
ACC-00791,50,SP,5525.1,2826,830.39,Varejo
ACC-00792,67,PR,5371.71,3843,314.67,Digital
ACC-00793,67,SP,3562.86,4948,120.64,Varejo
ACC-00794,20,MG,6739.33,3623,696.67,Varejo
ACC-00795,29,BA,7159.67,796,622.04,Varejo
ACC-00796,72,SP,8135.71,1946,280.96,Digital
ACC-00797,25,SP,3427.02,2493,473.68,Varejo
ACC-00798,57,GO,4803.47,1078,687.3,Empresarial
ACC-00799,54,SP,2972.89,2986,270.69,Varejo
ACC-00800,55,RS,3102.89,742,211.3,Empresarial
ACC-00801,35,MG,7244.21,702,249.59,Varejo
ACC-00802,24,SC,3963.69,2785,561.55,Alta renda
ACC-00803,59,SP,3463.73,1238,530.34,Alta renda
ACC-00804,39,BA,5665.13,342,662.76,Varejo
ACC-00805,74,BA,5899.23,1664,465.71,Alta renda
ACC-00806,27,RJ,2344.23,4284,117.18,Empresarial
ACC-00807,30,SP,2512.4,1238,197.67,Digital
ACC-00808,73,SP,6081.43,4235,272.92,Digital
ACC-00809,26,SP,5388.07,2471,814.41,Varejo
ACC-00810,56,SP,3340.14,4520,114.15,Alta renda
ACC-00811,66,GO,8327.4,723,242.29,Digital
ACC-00812,22,RS,3588.8,3570,100.55,Alta renda
ACC-00813,61,MG,1090.74,4743,110.62,Alta renda
ACC-00814,41,RJ,2281.68,2352,205.68,Varejo
ACC-00815,43,SP,1467.64,189,107.85,Varejo
ACC-00816,22,RS,8059.81,2828,542.62,Varejo
ACC-00817,18,RJ,5315.53,3171,286.77,Varejo
ACC-00818,60,RJ,4134.66,1088,382.75,Varejo
ACC-00819,77,SP,848.58,4195,35.0,Empresarial
ACC-00820,60,SC,1465.26,1516,219.89,Digital
ACC-00821,77,SP,3470.37,2731,504.2,Alta renda
ACC-00822,19,SP,1203.35,1695,89.33,Digital
ACC-00823,36,RJ,7059.76,1401,890.32,Varejo
ACC-00824,41,SP,3579.87,2603,237.73,Varejo
ACC-00825,57,GO,3487.63,189,169.37,Digital
ACC-00826,22,RS,3673.07,4089,137.0,Varejo
ACC-00827,72,BA,2064.0,3600,197.8,Varejo
ACC-00828,58,SP,1942.92,4694,67.68,Alta renda
ACC-00829,64,MG,1114.18,1374,152.72,Empresarial
ACC-00830,41,SP,3886.48,3812,508.17,Alta renda
ACC-00831,42,SP,4984.4,3621,764.91,Varejo
ACC-00832,32,SP,3279.87,3845,499.84,Varejo
ACC-00833,23,RJ,3185.47,626,256.76,Varejo
ACC-00834,26,BA,2077.55,4505,278.46,Digital
ACC-00835,69,RS,4505.01,4007,502.14,Varejo
ACC-00836,65,RJ,777.89,1745,40.65,Digital
ACC-00837,41,MG,1867.04,2154,178.12,Varejo
ACC-00838,77,PE,2494.97,2672,150.29,Alta renda
ACC-00839,29,SP,2750.35,2315,121.3,Digital
ACC-00840,31,SP,4410.05,4609,562.19,Varejo
ACC-00841,18,PE,3377.65,3084,372.17,Varejo
ACC-00842,70,SP,4234.64,4292,304.16,Varejo
ACC-00843,48,SP,8602.02,4027,923.22,Digital
ACC-00844,49,SP,9338.18,1923,507.6,Varejo
ACC-00845,43,MG,5831.01,2424,564.83,Varejo
ACC-00846,57,RS,8617.85,4076,619.19,Alta renda
ACC-00847,49,SP,11781.28,4313,439.13,Alta renda
ACC-00848,66,SP,4869.63,1652,679.07,Varejo
ACC-00849,50,BA,1542.41,4116,234.27,Empresarial
ACC-00850,26,SC,7357.18,2283,555.22,Varejo
ACC-00851,34,SP,2004.81,1761,125.99,Varejo
ACC-00852,23,GO,12838.52,4923,473.52,Alta renda
ACC-00853,32,SP,11746.14,578,1071.46,Varejo
ACC-00854,34,SP,2732.99,4613,344.61,Varejo
ACC-00855,52,RS,1872.71,3567,113.37,Varejo
ACC-00856,66,GO,2446.4,4951,382.26,Varejo
ACC-00857,39,MG,3669.08,2257,402.14,Varejo
ACC-00858,29,RS,8802.77,3096,1324.7,Varejo
ACC-00859,28,MG,1714.66,115,256.11,Varejo
ACC-00860,65,MG,6790.2,1015,775.09,Empresarial
ACC-00861,50,GO,996.97,1498,55.8,Empresarial
ACC-00862,55,SP,8424.54,2103,942.81,Alta renda
ACC-00863,51,GO,3676.53,4686,259.47,Alta renda
ACC-00864,54,RJ,4358.28,4290,406.55,Alta renda
ACC-00865,43,BA,3572.49,3782,278.26,Varejo
ACC-00866,23,BA,7032.04,1167,190.83,Varejo
ACC-00867,64,PR,4872.46,4397,381.31,Varejo
ACC-00868,60,SP,11466.19,875,395.34,Varejo
ACC-00869,66,PE,1206.45,866,181.35,Digital
ACC-00870,53,MG,2125.37,3412,131.04,Varejo
ACC-00871,42,SP,1595.73,259,45.98,Varejo
ACC-00872,62,SP,6103.14,1256,498.6,Varejo
ACC-00873,65,GO,1278.03,3628,156.72,Varejo
ACC-00874,38,DF,18586.03,169,2855.63,Varejo
ACC-00875,19,SP,4063.02,4548,324.63,Alta renda
ACC-00876,56,BA,8469.58,592,630.83,Digital
ACC-00877,69,SP,2042.41,614,74.13,Empresarial
ACC-00878,18,GO,4348.61,4831,691.26,Varejo
ACC-00879,29,SP,5743.14,1134,175.2,Varejo
ACC-00880,46,BA,2418.44,1863,72.57,Varejo
ACC-00881,62,SP,3300.92,3326,89.17,Varejo
ACC-00882,37,PE,10533.29,1676,1236.81,Empresarial
ACC-00883,71,PR,8718.1,1750,533.09,Alta renda
ACC-00884,74,SP,5576.55,2969,778.25,Alta renda
ACC-00885,28,PR,13785.69,3469,1745.34,Varejo
ACC-00886,65,DF,1080.55,3089,143.01,Digital
ACC-00887,57,RJ,4625.32,2733,218.8,Varejo
ACC-00888,77,BA,2987.25,4988,350.02,Varejo
ACC-00889,30,PR,9656.9,2311,1502.65,Varejo
ACC-00890,43,SP,7874.76,1613,1087.97,Varejo
ACC-00891,42,MG,8185.64,4505,429.22,Alta renda
ACC-00892,35,RS,2596.78,3024,85.37,Digital
ACC-00893,70,MG,5513.85,107,510.51,Varejo
ACC-00894,54,PE,7724.55,1535,416.9,Alta renda
ACC-00895,65,RJ,8895.11,1157,244.84,Varejo
ACC-00896,56,RS,2096.11,4945,100.89,Varejo
ACC-00897,58,GO,2455.03,2261,186.28,Varejo
ACC-00898,34,SP,4489.0,2800,517.19,Varejo
ACC-00899,54,SP,9477.36,4585,447.39,Varejo
ACC-00900,51,MG,5728.36,1503,311.51,Varejo
ACC-00901,71,BA,9360.67,457,469.93,Digital
ACC-00902,23,SP,1075.88,4959,142.54,Varejo
ACC-00903,70,GO,3208.11,3385,169.95,Digital
ACC-00904,74,RS,5293.56,3473,215.03,Varejo
ACC-00905,42,RS,4560.69,4930,633.65,Varejo
ACC-00906,22,PE,1119.51,3213,134.49,Digital
ACC-00907,36,DF,7828.85,38,341.58,Alta renda
ACC-00908,74,SP,4790.87,2790,310.44,Digital
ACC-00909,42,PE,2826.42,575,430.97,Varejo
ACC-00910,50,PR,8337.68,4122,435.08,Digital
ACC-00911,26,GO,1243.86,4821,166.59,Alta renda
ACC-00912,59,SP,2745.28,4769,251.63,Varejo
ACC-00913,51,BA,6799.64,4649,885.46,Digital
ACC-00914,53,SP,4887.3,3216,329.98,Digital
ACC-00915,60,SP,3307.52,3288,260.4,Digital
ACC-00916,26,GO,3463.54,4967,145.13,Varejo
ACC-00917,60,SP,3288.53,3346,387.92,Digital
ACC-00918,59,MG,6725.8,4796,1039.81,Varejo
ACC-00919,23,BA,3140.7,3548,230.92,Alta renda
ACC-00920,55,SP,5947.05,867,455.0,Varejo
ACC-00921,73,SP,985.75,3725,123.4,Digital
ACC-00922,32,RJ,8511.07,3826,982.14,Alta renda
ACC-00923,33,MG,18713.69,4110,2413.07,Varejo
ACC-00924,64,RS,5296.33,4531,244.56,Digital
ACC-00925,42,SP,3618.3,4810,496.04,Digital
ACC-00926,76,RJ,2703.23,606,400.67,Varejo
ACC-00927,71,RJ,6032.09,2773,703.66,Varejo
ACC-00928,44,BA,2508.37,986,74.82,Varejo
ACC-00929,19,GO,2248.06,2355,229.23,Varejo
ACC-00930,66,BA,959.31,878,84.37,Alta renda
ACC-00931,68,RJ,4481.42,1217,680.33,Varejo
ACC-00932,29,BA,3168.34,2670,314.46,Alta renda
ACC-00933,31,SP,3283.36,4182,288.8,Digital
ACC-00934,39,BA,3821.88,431,339.73,Alta renda
ACC-00935,66,RJ,2415.65,4075,149.37,Varejo
ACC-00936,72,MG,4323.32,950,670.48,Digital
ACC-00937,60,SP,1897.04,136,216.33,Alta renda
ACC-00938,38,SP,3551.04,1339,427.84,Alta renda
ACC-00939,72,PR,3187.78,1253,349.28,Varejo
ACC-00940,53,MG,1260.93,3754,60.37,Alta renda
ACC-00941,53,RJ,1741.01,4706,205.07,Digital
ACC-00942,24,SC,2604.2,1091,137.11,Varejo
ACC-00943,41,DF,2655.6,4157,115.72,Alta renda
ACC-00944,72,PR,4530.01,4634,384.42,Varejo
ACC-00945,35,SP,2941.73,3592,276.81,Varejo
ACC-00946,53,MG,3702.43,560,363.61,Alta renda
ACC-00947,61,SP,2934.44,4127,444.77,Digital
ACC-00948,28,BA,710.81,3189,51.29,Digital
ACC-00949,39,SP,3532.61,887,433.4,Varejo
ACC-00950,55,MG,2214.07,2434,149.01,Varejo
ACC-00951,48,MG,3449.9,1420,452.29,Varejo
ACC-00952,75,MG,2326.33,750,258.76,Empresarial
ACC-00953,77,RS,5861.67,4969,493.52,Varejo
ACC-00954,32,SP,3715.08,1678,298.06,Varejo
ACC-00955,42,PR,6065.52,1744,523.64,Varejo
ACC-00956,32,SP,6360.77,3488,642.69,Digital
ACC-00957,40,BA,2648.33,1085,362.71,Digital
ACC-00958,23,PR,6502.41,2889,357.87,Varejo
ACC-00959,31,DF,4441.19,138,297.68,Varejo
ACC-00960,35,SP,1924.33,1324,238.16,Digital
ACC-00961,35,SP,3549.7,3588,276.9,Varejo
ACC-00962,62,PR,4068.97,2487,453.1,Digital
